pathway	pval	padj	log2err	ES	NES	size	leadingEdge	contrast	method
HALLMARK_ADIPOGENESIS	0.235042735042735	0.309266756635178	0.190023305279108	-0.252045425252545	-1.08602191240107	189	APOE SPARCL1 MGLL MYLK PFKFB3 HSPB8 NABP1 UCP2 RAB34 STOM COL4A1 SNCG ALDH2 ACO2 ATP1B3 ITIH5 PPARG IDH3A GADD45A SOD1 SORBS1 CHCHD10 PFKL ITSN1 YWHAG PLIN2 ALDOA STAT5A CAVIN1 ITGA7 APLP2 GHITM AGPAT3 IFNGR1 NKIRAS1 CCNG2 MRPL15 LAMA4 MGST3	clusterPanc	none_q3
HALLMARK_ALLOGRAFT_REJECTION	4.38902216304223e-15	1.11600609928919e-13	0.996986217533181	-0.575991406368876	-2.43312686884129	171	CD74 HLA-DRA SRGN FLNA PTPRC PRKCB CD79A THY1 HLA-DMA WAS CTSS IRF8 HCLS1 LTB MMP9 HLA-DMB IL2RG CXCL13 CD4 GBP2 ETS1 CAPG ITGB2 HLA-E HLA-DOB CCL19 CD3E TAP1 ITGAL CD247 SPI1 FYB1 ITK HLA-DOA NCF4 CD3D IL4R MAP4K1 PTPN6 PRKCG HLA-DQA1 LY75 FGR TAP2 ELF4 CD28 CD96 LCK LY86 CD2 CXCL9 IRF4 ABI1 LCP2 ICAM1 IL27RA CD47 FAS IL2RA TGFB1 LYN TAPBP STAB1 CARTPT JAK2 ZAP70 ACHE CD3G IL2RB ST8SIA4 UBE2D1 CD40LG CSF1 SOCS1 HIF1A IL16 IFNGR1 HLA-G UBE2N HLA-A NOS2 WARS1 ICOSLG IFNGR2	clusterPanc	none_q3
HALLMARK_ANDROGEN_RESPONSE	0.0923994038748137	0.14903129657228	0.178219874951973	0.418576298064393	1.35553641241104	98	AZGP1 HOMER2 ELL2 KRT8 DNAJB9 LMAN1 PGM3 CCND1 ABHD2 INSIG1 TMPRSS2 SEC24D H1-0 MAP7 UAP1 TPD52 CDC14B ANKH SGK1 AKT1 PDLIM5 RAB4A SPCS3 GUCY1A1	clusterPanc	none_q3
HALLMARK_ANGIOGENESIS	0.0670103092783505	0.111683848797251	0.227987202850442	0.573797347054707	1.57862878766801	29	VEGFA FGFR1 APOH KCNJ8 SERPINA5 TNFRSF21 TIMP1 THBD SPP1 LRPAP1 VAV2 APP JAG2 POSTN	clusterPanc	none_q3
HALLMARK_APICAL_JUNCTION	3.81727346653889e-05	0.000190863673326944	0.557332238758646	-0.410579848570474	-1.73816945948433	174	PTPRC THY1 MYL9 MSN SDC3 ZYX CADM3 SIRPA MMP9 PFN1 SKAP2 FSCN1 ACTG2 CADM2 VASP CDH11 RAC2 ARHGEF6 FYB1 MYH9 RHOF PECAM1 ARPC2 EPB41L2 CLDN5 CAP1 CLDN11 NRXN2 ICAM5 LAMB3 CNN2 ITGA9 ICAM1 VCL SYK CLDN8 YWHAH SLIT2 NLGN2 SLC30A3 VWF CX3CL1 FLNC ADAM23 AMIGO2 VCAM1 ITGA2 NEGR1 PLCG1 TRAF1 IKBKG LAMA3 ITGB4 ICAM2 MMP2 CD209 FBN1 TGFBI ADAM9 RRAS CD34 ADRA1B TNFRSF11B PCDH1 CD86 CDH3	clusterPanc	none_q3
HALLMARK_APICAL_SURFACE	0.00996756750734108	0.0226535625166843	0.380730400722792	-0.502335082715228	-1.646830227738	37	THY1 MAL IL2RG SULF2 NTNG1 ATP6V0A4 GATA3 AFAP1L2 CRYBG1 LYN CX3CL1 RHCG IL2RB	clusterPanc	none_q3
HALLMARK_APOPTOSIS	0.0114960452895778	0.0239500943532871	0.380730400722792	-0.329283755843067	-1.36700034500436	152	LGALS3 HMOX1 PEA15 SPTAN1 SAT1 FEZ1 HMGB2 RHOB ISG20 EMP1 TOP2A TAP1 BIRC3 DCN EGR3 IRF1 CD38 CD69 ANXA1 PLAT PAK1 PLCB2 CASP1 PPP3R1 PLPPR4 GPX1 GADD45A SOD1 CD2 CASP8 LEF1 TIMP3 CFLAR FAS SLC20A1 BIK ADD1 PDGFRB CASP3 CDC25B DPYD MMP2 TSPO IFNGR1 IFITM3 HGF BCL10 RARA PMAIP1 NEDD9 LMNA EBP CDKN1B IL18 BMF	clusterPanc	none_q3
HALLMARK_BILE_ACID_METABOLISM	0.034958942360279	0.0647387821486648	0.321775918075361	0.480755297788492	1.54156741332863	93	TTR ALDH1A1 RBP1 GC ABCA5 EPHX2 NR0B2 MLYCD SLC29A1 SCP2 PEX7 LONP2 GCLM PRDX5 SERPINA6 ABCD3 PHYH HSD17B11 NUDT12 RXRA ISOC1 ABCA3 SLC35B2	clusterPanc	none_q3
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.219589257503949	0.296742239870202	0.11378726182188	0.383807371615339	1.18435918657382	68	TMEM97 ERRFI1 CLU ALCAM NIBAN1 CBS TP53INP1 ANXA5 CHKA GUSB CYP51A1 LSS TNFRSF12A STX5 GSTM2 FDPS PLSCR1 GNAI1 SCD PMVK TM7SF2 PNRC1	clusterPanc	none_q3
HALLMARK_COAGULATION	0.00183037765352107	0.00508438237089185	0.45505986738723	-0.397655199985314	-1.56046309878276	111	SPARC APOC1 WDR1 MMP9 FYN A2M ITGB3 HTRA1 S100A1 CD9 LRP1 THBS1 PLEK FN1 C1S C1QA CTSB PECAM1 ANXA1 DUSP6 PLAT CTSH S100A13 TIMP3 LGMN CFH CSRP1 C1R SH2B2 RAPGEF3 VWF CAPN5 ITGA2 PLAU SERPINE1 MMP2 FBN1 ADAM9 MSRB2 ISCU PROS1 KLF7	clusterPanc	none_q3
HALLMARK_COMPLEMENT	0.00129080777833202	0.00383713482371449	0.45505986738723	-0.368979425263306	-1.56205612721559	174	SPOCK2 LGALS3 WAS CTSS APOC1 CTSC FYN PFN1 PSMB9 CALM3 COL4A2 MT3 HPCAL4 GRB2 CA2 LRP1 KYNU PLEK PIK3CG FN1 C1S EHD1 LAP3 C1QC DOCK10 C1QA CTSB DGKH KCNIP2 ERAP2 IRF1 PDP1 DUSP6 CR1 PLAT CTSH CDH13 TNFAIP3 CASP1 GMFB DOCK9 S100A13 APOBEC3G GATA3 LCK DOCK4 S100A9 LCP2 LGMN CDK5R1 CFH ATOX1 LYN CSRP1 C1R CR2 PLA2G7 JAK2 ZFPM2 CALM1 GNGT2 GNB4 CASP3 LIPA SERPINE1 HSPA1A PRKCD CD40LG ADAM9 FCER1G	clusterPanc	none_q3
HALLMARK_DNA_REPAIR	0.78686327077748	0.855286163888565	0.0383205781976994	0.239813325345125	0.821922402450949	144	SEC61A1 TMED2 BCAM SRSF6 EDF1 NUDT9 IMPDH2 ELOA DCTN4 COX17 POLR2I NME3 POLL BCAP31 POLR1D SURF1 STX3 NT5C3A TAF10 NELFCD POLR1H DAD1 SMAD5 GTF2F1 TSG101 APRT MPG CCNO REV3L HPRT1 NELFE GUK1 TAF9	clusterPanc	none_q3
HALLMARK_E2F_TARGETS	6.11909715616962e-11	1.01984952602827e-09	0.839088935621274	-0.501170299756799	-2.15599073734202	190	JPT1 STMN1 HMGB2 CKS2 MCM6 TOP2A CIT LMNB1 TFRC AURKB MKI67 KPNA2 DCK PSIP1 DDX39A MCM4 CCNB2 UBE2T TK1 MCM3 HELLS POLE4 CDK1 PLK1 DNMT1 ANP32E PTTG1 SMC4 HMGA1 HMMR LBR CHEK1 TACC3 SLBP BUB1B BARD1 CDC20 KIF22 MCM5 DLGAP5 RRM2 SPC24 KIF18B UBE2S MYBL2 H2AX GINS4 CHEK2 CDC25B EZH2 CDKN3 NASP H2AZ1 TUBB SHMT1 KIF2C TP53 CTPS1 POLE TMPO MCM2 PCNA GINS1 RNASEH2A ASF1B POLA2 KIF4A ORC6 DEPDC1 NCAPD2 MSH2 CCNE1 CDKN1B RAD51AP1 RAD51C E2F8 RFC3 CDCA3 SMC6 TCF19 PMS2 SUV39H1 PLK4 BRCA2 CENPE RPA3	clusterPanc	none_q3
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	0.00130462584006293	0.00383713482371449	0.45505986738723	-0.361199755141862	-1.52579503710812	171	FLNA THY1 SPARC TNC MYL9 MYLK SPOCK1 ACTA2 LGALS1 WIPF1 SAT1 ITGB3 IGFBP3 COL4A2 EMP3 RHOB CAPG CDH11 HTRA1 GLIPR1 TAGLN TPM2 TPM4 LRP1 THBS1 IGFBP4 FN1 SLIT3 ABI3BP COL6A2 DPYSL3 DCN FGF2 NT5E COL4A1 VIM FSTL1 TNFAIP3 CAP2 PCOLCE2 FUCA1 GADD45A SFRP1 TIMP3 GJA1 MATN2 FAS SDC1 TGFB1 PMP22 FERMT2 DAB2 SLIT2 COL12A1 ITGA5 PRRX1 PDGFRB VCAM1 ITGA2 COL1A1 SERPINE1 LAMA3 NNMT MMP2 COLGALT1 FBN1 TGFBI CALD1 COL5A3 TGM2 ID2 COL5A2 TNFRSF11B SERPINH1 AREG SLC6A8 DST SERPINE2 MGP	clusterPanc	none_q3
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.104359313077939	0.16306142668428	0.156312403073186	0.359970487917907	1.26972907085366	180	SLC7A2 XBP1 KRT8 RHOBTB3 TOB1 ABAT PAPSS2 MUC1 LRIG1 KRT18 MINDY1 RAB17 CD44 SYBU CCND1 KDM4B ESRP2 ADCY1 ABHD2 WWC1 ELF3 SLC1A4 IGF1R TMEM164 STC2 SLC39A6 CLDN7 DHRS3 WFS1 RHOD PGR OVOL2 TFF3 AFF1 ANXA9 FKBP4 TTC39A MAST4 RETREG1 ABLIM1 PLAAT3 MYC PPIF PRSS23 ABCA3 FLNB KCNK5 FOS	clusterPanc	none_q3
HALLMARK_ESTROGEN_RESPONSE_LATE	0.0512907971526113	0.0915907092010916	0.321775918075361	0.403443318033966	1.42230537060718	178	XBP1 HOMER2 SERPINA3 IMPA2 CDH1 CPE SERPINA1 PDCD4 TOB1 PAPSS2 PERP TSPAN13 KLK11 LLGL2 DNAJC12 SERPINA5 CD44 CACNA2D2 LSR ST14 MAPK13 CCND1 ABHD2 PKP3 PCP4 SLC29A1 SLC1A4 GFUS BTG3 ALDH3A2 MDK WFS1 SGK1 DNAJC1 PLXNB1 PGR FGFR3 OVOL2 DLG5 TFF3 AFF1 ANXA9	clusterPanc	none_q3
